acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451015629,522595,163681,-0.240608,51.358979,1/6/2021,jan,4,12:10:00,12,after,E07000208,6,0,6,40,3,3,0,0,1,1,2,0,0,1,1,2,E01030407,1,2,3
451015700,504766,171027,-0.49441,51.428574,1/20/2021,jan,4,9:12:00,9,morni,E07000213,6,0,6,30,2,6,0,0,1,1,2,0,0,1,2,2,E01030742,1,2,3
451015705,514727,168913,-0.351874,51.407647,1/20/2021,jan,4,6:45:00,6,morni,E07000207,6,0,6,20,0,0,0,0,6,8,2,0,2,2,1,2,E01030329,1,1,3
451015989,498663,150957,-0.587721,51.249256,1/21/2021,jan,5,10:30:00,10,morni,E07000209,6,0,6,30,9,3,0,5,1,1,1,0,0,1,1,2,E01030487,2,2,3
451016097,510183,166598,-0.417897,51.387738,1/20/2021,jan,4,17:20:00,17,after,E07000207,3,3050,6,30,9,6,0,0,4,2,2,0,0,1,1,2,E01030359,1,2,3
451016109,531106,142843,-0.126067,51.169807,1/20/2021,jan,4,18:10:00,18,eveni,E07000215,6,0,6,60,0,0,0,0,6,5,2,0,0,2,1,2,E01030819,1,1,2
451016180,499606,162062,-0.571119,51.348918,1/22/2021,jan,6,6:30:00,6,morni,E07000214,3,319,6,50,3,6,0,0,6,8,4,0,0,2,1,2,E01030764,1,1,3
451016242,529872,145262,-0.142835,51.191829,1/22/2021,jan,6,10:00:00,10,morni,E07000211,6,0,6,60,9,6,0,0,1,8,4,0,0,2,1,2,E01030629,1,2,3
451016243,508922,160256,-0.43795,51.330977,1/22/2021,jan,6,10:45:00,10,morni,E07000207,3,3,3,70,5,6,0,0,1,1,1,0,0,2,1,1,E01030346,1,1,3
451016268,539398,160392,-0.000708,51.325554,1/22/2021,jan,6,9:30:00,9,morni,E07000215,6,0,6,60,3,6,0,0,1,1,4,0,0,2,1,2,E01030852,1,1,3
451016296,487033,158752,-0.752416,51.321225,1/22/2021,jan,6,12:35:00,12,after,E07000214,4,3411,6,30,3,6,0,0,1,1,1,0,2,1,1,2,E01030805,1,2,3
451016322,500062,162271,-0.564515,51.350717,1/22/2021,jan,6,7:45:00,7,morni,E07000214,3,319,6,50,3,6,0,0,1,1,4,0,2,2,1,2,E01030763,1,1,3
451016348,503865,160498,-0.51044,51.334097,1/22/2021,jan,6,16:25:00,16,after,E07000217,3,245,6,30,2,3,0,4,5,2,2,0,0,1,1,2,E01031002,1,2,3
451126533,510651,170150,-0.410066,51.419575,12/15/2021,dec,4,9:20:00,9,morni,E07000213,6,0,6,30,2,6,0,0,1,1,2,0,0,1,1,2,E01030755,2,2,3
451016366,534891,154443,-0.067601,51.273176,1/22/2021,jan,6,5:18:00,5,night,E07000215,3,22,3,60,0,0,0,0,6,1,4,0,0,2,1,2,E01030828,1,2,3
451016384,499091,160053,-0.579071,51.330949,1/23/2021,jan,7,5:07:00,5,night,E07000217,6,0,6,50,0,0,0,0,6,8,2,0,7,2,1,2,E01030967,1,1,3
451016412,496907,160381,-0.61032,51.334273,1/23/2021,jan,7,7:55:00,7,morni,E07000217,6,0,6,40,3,6,0,0,1,1,4,0,0,2,1,2,E01030967,1,2,3
